名称,价格,面积,朝向,户型,楼层,总楼层
?友家 · 西营房3居室-南卧,?3830,?14 ㎡,?南,?3室1厅,?10,?19层
,,,,,,
?友家 · 安德路47号院3居室-西卧,?2960,?8.7 ㎡,?西,?3室1厅,?6,?6层
,,,,,,
?友家 · 安外东河沿2居室-南卧,?3990,?14.2 ㎡,?南,?2室1厅,?12,?12层
,,,,,,
?友家 · 国祥胡同4号院3居室-北卧,?3030,?10.2 ㎡,?北,?3室1厅,?2,?5层
,,,,,,
?友家 · 安外东河沿3居室-南卧,?3690,?13.76 ㎡,?南,?3室1厅,?4,?11层
,,,,,,
?友家 · 永康胡同1号院3居室-北卧,?3190,?9.6 ㎡,?北,?3室1厅,?5,?7层
,,,,,,
?友家 · 安外东河沿3居室-北卧,?3030,?9 ㎡,?北,?3室1厅,?9,?20层
,,,,,,
?友家 · 安德路47号院3居室-北卧,?2830,?7.8 ㎡,?北,?3室1厅,?6,?7层
,,,,,,
?友家 · 东直门内北小街8号院3居室-南卧,?3290,?14.3 ㎡,?南,?3室1厅,?1,?13层
,,,,,,
?友家 · 永康胡同18号院3居室-西卧,?3290,?8.6 ㎡,?西,?3室1厅,?6,?6层
,,,,,,
?友家 · 西营房3居室-东卧,?3790,?13.7 ㎡,?东,?3室1厅,?13,?19层
,,,,,,
?友家 · 永康胡同5号院3居室-北卧,?3090,?7.4 ㎡,?北,?3室1厅,?2,?5层
,,,,,,
?友家 · 永康胡同18号院3居室-东卧,?3530,?13 ㎡,?东,?3室1厅,?6,?6层
,,,,,,
?友家 · 永康胡同5号院3居室-北卧,?3260,?8.9 ㎡,?北,?3室1厅,?2,?5层
,,,,,,
?友家 · 安德路55号院2居室-北卧,?3330,?14 ㎡,?北,?2室1厅,?4,?4层
,,,,,,
?友家 · 六铺炕3居室-北卧,?2790,?11.5 ㎡,?北,?3室1厅,?3,?12层
,,,,,,
?友家 · 安德路55号院2居室-南卧,?3530,?15.4 ㎡,?南,?2室1厅,?1,?3层
,,,,,,
?友家 · 安德路47号院3居室-东卧,?3330,?13.3 ㎡,?东,?3室1厅,?6,?6层
,,,,,,
?友家 · 花梗胡同1号院3居室-北卧,?2990,?7.8 ㎡,?北,?3室1厅,?1,?6层
,,,,,,
?友家 · 北官厅胡同2号院3居室-西卧,?3030,?8.6 ㎡,?西,?3室1厅,?1,?5层
,,,,,,
?友家 · 北官厅胡同3居室-北卧,?3090,?10.2 ㎡,?北,?3室1厅,?3,?6层
,,,,,,
?友家 · 安德路55号院2居室-北卧,?3690,?16 ㎡,?北,?2室1厅,?3,?3层
,,,,,,
?友家 · 青年湖东里3居室-南卧,?3790,?15 ㎡,?南,?3室1厅,?1,?6层
,,,,,,
?友家 · 安外大街82号院3居室-南卧,?3430,?12.5 ㎡,?南,?3室1厅,?1,?6层
,,,,,,
?友家 · 安外大街82号院3居室-北卧,?2730,?8.4 ㎡,?北,?3室1厅,?1,?6层
,,,,,,
?友家 · 东直门内北小街16号3居室-东卧,?3390,?8.9 ㎡,?东,?3室1厅,?7,?10层
,,,,,,
?友家 · 安德里北街25号院2居室-北卧,?3490,?8.4 ㎡,?北,?2室1厅,?10,?17层
,,,,,,
?友家 · 青年湖南街3居室-西卧,?3360,?10 ㎡,?西,?3室1厅,?1,?14层
,,,,,,
?友家 · 六铺炕3居室-北卧,?3290,?10.3 ㎡,?北,?3室1厅,?5,?5层
,,,,,,
?友家 · 青年湖北里3居室-东卧,?3990,?14 ㎡,?东,?3室1厅,?2,?6层
,,,,,,
?友家 · 六铺炕3居室-北卧,?3260,?9.9 ㎡,?北,?3室1厅,?10,?12层
,,,,,,
?友家 · 六铺炕3居室-北卧,?3290,?9.15 ㎡,?北,?3室1厅,?2,?6层
,,,,,,
?友家 · 六铺炕2居室-西卧,?3390,?10.1 ㎡,?西,?2室1厅,?6,?6层
,,,,,,
?友家 · 六铺炕3居室-西卧,?3090,?10 ㎡,?西,?3室1厅,?1,?6层
,,,,,,
?友家 · 安德里北街25号院2居室-西北卧,?4060,?18.2 ㎡,?北,?2室1厅,?10,?17层
,,,,,,
?友家 · 上龙西里2居室-东卧,?2890,?约7.2 ㎡,?东,?2室1厅,?17,?18层
,,,,,,
?友家 · 永康胡同1号院3居室-北卧,?2860,?约9 ㎡,?北,?3室1厅,?3,?7层
,,,,,,
?友家 · 永康胡同1号院3居室-北卧,?2890,?约9.1 ㎡,?北,?3室1厅,?2,?7层
,,,,,,
?友家 · 安德路47号院3居室-南卧,?3690,?约14 ㎡,?南,?3室1厅,?5,?5层
,,,,,,
?友家 · 安外东河沿3居室-北卧,?2930,?约10.2 ㎡,?北,?3室1厅,?3,?6层
,,,,,,
?友家 · 安德路47号院2居室-北卧,?2990,?约10.2 ㎡,?北,?2室1厅,?4,?5层
,,,,,,
?友家 · 北官厅胡同2号院3居室-北卧,0,?约9.7 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 安德路55号院2居室-南卧,?3330,?约13.8 ㎡,?南,?2室1厅,?2,?3层
,,,,,,
?友家 · 永康胡同18号院3居室-西卧,?3030,?约9.6 ㎡,?西,?3室1厅,?6,?6层
,,,,,,
?友家 · 青年湖南街3居室-南卧,?3960,?约19.06 ㎡,?南,?3室1厅,?3,?14层
,,,,,,
?友家 · 安外大街3居室-北卧,?3090,?约10 ㎡,?北,?3室1厅,?15,?16层
,,,,,,
?友家 · 六铺炕3居室-北卧,?2860,?约6 ㎡,?北,?3室1厅,?5,?5层
,,,,,,
?友家 · 北官厅胡同3居室-南卧,?3730,?约13.8 ㎡,?南,?3室1厅,?4,?5层
,,,,,,
?友家 · 东直门内北小街16号3居室-西卧,?3690,?约15.9 ㎡,?西,?3室1厅,?8,?10层
,,,,,,
?友家 · 花梗胡同1号院3居室-南卧,?3790,?约13.7 ㎡,?南,?3室1厅,?1,?6层
,,,,,,
?友家 · 后永康胡同2号院4号院3居室-南卧,?3490,?约10 ㎡,?南,?3室1厅,?4,?6层
,,,,,,
?友家 · 青年湖南街3居室-南卧,?4190,?约15 ㎡,?南,?3室1厅,?6,?6层
,,,,,,
?友家 · 中绦胡同甲2号院3居室-南卧,?3730,?约15 ㎡,?南,?3室1厅,?1,?6层
,,,,,,
?友家 · 青年湖南街3居室-南卧,?3690,?约15 ㎡,?南,?3室1厅,?6,?6层
,,,,,,
?友家 · 青年湖东里3居室-东卧,?2890,?约9 ㎡,?东,?3室1厅,?1,?6层
,,,,,,
?友家 · 后永康胡同2号院4号院3居室-南卧,?3460,?约11 ㎡,?南,?3室1厅,?4,?6层
,,,,,,
?友家 · 中绦胡同甲2号院3居室-北卧,?3130,?约10 ㎡,?北,?3室1厅,?1,?6层
,,,,,,
?友家 · 中绦胡同甲2号院3居室-北卧,?3290,?约11 ㎡,?北,?3室1厅,?1,?6层
,,,,,,
?友家 · 青年湖南街3居室-南卧,?3690,?约12 ㎡,?南,?3室1厅,?6,?6层
,,,,,,
?友家 · 后永康胡同2号院4号院3居室-北卧,?3260,?约9 ㎡,?北,?3室1厅,?4,?6层
,,,,,,
?友家 · 青年湖东里3居室-东卧,?3590,?约14 ㎡,?东,?3室1厅,?1,?6层
,,,,,,
?友家 · 安贞苑50号院4居室-南卧,?2790,?8 ㎡,?南,?4室1厅,?5,?6层
,,,,,,
?友家 · 胜古中路1号院4居室-东卧,?3130,?11 ㎡,?东,?4室1厅,?3,?14层
,,,,,,
?友家 · 小黄庄一区3居室-北卧,?2930,?8.3 ㎡,?北,?3室1厅,?16,?21层
,,,,,,
?友家 · 安定路4居室-北卧,?2730,?8.3 ㎡,?北,?4室1厅,?8,?20层
,,,,,,
?友家 · 小黄庄一区3居室-南卧,?3130,?8.5 ㎡,?南,?3室1厅,?18,?21层
,,,,,,
?友家 · 西青年沟2居室-南卧,?3360,?10.34 ㎡,?南,?2室1厅,?3,?6层
,,,,,,
?友家 · 小黄庄一区3居室-南卧,?3260,?9.4 ㎡,?南,?3室1厅,?17,?21层
,,,,,,
?友家 · 胜古中路1号院4居室-东卧,?5390,?22 ㎡,?东,?4室1厅,?3,?14层
,,,,,,
?友家 · 小黄庄一区3居室-南卧,?3260,?8.5 ㎡,?南,?3室1厅,?14,?21层
,,,,,,
?友家 · 小黄庄一区3居室-北卧,?3260,?8 ㎡,?北,?3室1厅,?18,?21层
,,,,,,
?友家 · 小黄庄一区3居室-南卧,0,?14.7 ㎡,?南,?3室1厅,?3,?6层
,,,,,,
?友家 · 西青年沟3居室-东卧,?3460,?9.99 ㎡,?东,?3室1厅,?3,?6层
,,,,,,
?友家 · 小黄庄一区3居室-北卧,?3530,?9.4 ㎡,?北,?3室1厅,?14,?21层
,,,,,,
?友家 · 安外大街3居室-北卧,?3090,?约10 ㎡,?北,?3室1厅,?15,?16层
,,,,,,
?友家 · 小黄庄一区3居室-东卧,0,?约16.8 ㎡,?东,?3室1厅,?20,?21层
,,,,,,
?友家 · 安定路3居室-西卧,?3890,?约9.9 ㎡,?西,?3室1厅,?13,?18层
,,,,,,
?友家 · 金鱼池中区5居室-东卧,?2990,?10.3 ㎡,?东,?5室1厅,?6,?6层
,,,,,,
?友家 · 金世纪嘉园3居室-南卧,?2590,?9 ㎡,?南,?3室1厅,?17,?21层
,,,,,,
?友家 · 金世纪嘉园4居室-东卧,?2690,?7.48 ㎡,?东,?4室1厅,?2,?18层
,,,,,,
?友家 · 金鱼池西区5居室-北卧,?2990,?11.34 ㎡,?北,?5室1厅,?4,?4层
,,,,,,
?友家 · 国瑞城中区3居室-南卧,?3490,?10.4 ㎡,?南,?3室1厅,?16,?16层
,,,,,,
?友家 · 新景家园东区3居室-北卧,?3190,?8.6 ㎡,?北,?3室1厅,?4,?12层
,,,,,,
?友家 · 国瑞城中区4居室-北卧,?2930,?6.91 ㎡,?北,?4室1厅,?6,?16层
,,,,,,
?友家 · 金鱼池东区3居室-西南卧,?3560,?11.1 ㎡,?南,?3室1厅,?5,?6层
,,,,,,
?友家 · 幸福家园一期4居室-北卧,?2630,?8 ㎡,?北,?4室1厅,?13,?14层
,,,,,,
?友家 · 新景家园西区3居室-北卧,?3160,?8.98 ㎡,?北,?3室1厅,?2,?18层
,,,,,,
?友家 · 新景家园东区4居室-南卧,?2990,?10.9 ㎡,?南,?4室1厅,?2,?17层
,,,,,,
?友家 · 金鱼池中区3居室-北卧,0,?10.5 ㎡,?北,?3室1厅,?3,?6层
,,,,,,
?友家 · 金鱼池中区4居室-北卧,?2860,?约9.1 ㎡,?北,?4室2厅,?5,?6层
,,,,,,
?友家 · 东环居苑3居室-东南卧,?2890,?8.2 ㎡,?南,?3室1厅,?18,?22层
,,,,,,
?友家 · 新景家园东区4居室-东卧,?2760,?7.9 ㎡,?东,?4室1厅,?9,?17层
,,,,,,
?友家 · 新景家园东区3居室-北卧,?2990,?10.2 ㎡,?北,?3室1厅,?16,?17层
,,,,,,
?友家 · 新景家园西区5居室-南卧,?3660,?10.3 ㎡,?南,?5室1厅,?12,?12层
,,,,,,
?友家 · 新景家园西区3居室-南卧,?3830,?10.2 ㎡,?南,?3室1厅,?12,?16层
,,,,,,
?友家 · 法华南里4居室-南卧,?3160,?10.9 ㎡,?南,?4室1厅,?3,?6层
,,,,,,
?友家 · 新景家园东区2居室-南卧,?3560,?10.5 ㎡,?南,?2室1厅,?9,?17层
,,,,,,
?友家 · 幸福家园一期5居室-北卧,?3090,?10.3 ㎡,?北,?5室1厅,?6,?18层
,,,,,,
?友家 · 新景家园东区3居室-西卧,?3560,?11.9 ㎡,?西,?3室1厅,?16,?17层
,,,,,,
?友家 · 远洋德邑3居室-南卧,?4160,?16 ㎡,?南,?3室1厅,?20,?22层
,,,,,,
?友家 · 远洋德邑3居室-南卧,?4170,?15 ㎡,?南,?3室1厅,?20,?22层
,,,,,,
?友家 · 新景家园东区3居室-东卧,?3460,?7.4 ㎡,?东,?3室1厅,?2,?17层
,,,,,,
?友家 · 新景家园东区3居室-东卧,?3630,?12.5 ㎡,?东,?3室1厅,?6,?17层
,,,,,,
?友家 · 远洋德邑2居室-东卧,0,?15.4 ㎡,?东,?2室1厅,?6,?14层
,,,,,,
?友家 · 新景家园西区2居室-南卧,0,?7.4 ㎡,?南,?2室1厅,?17,?18层
,,,,,,
?友家 · 新景家园东区3居室-南卧,?3490,?9.8 ㎡,?南,?3室1厅,?9,?12层
,,,,,,
?友家 · 新景家园西区3居室-西卧,?3460,?11.6 ㎡,?西,?3室1厅,?10,?16层
,,,,,,
?友家 · 前门东大街3居室-西卧,?3430,?9.4 ㎡,?西,?3室1厅,?4,?13层
,,,,,,
?友家 · 北河沿大街3居室-北卧,0,?12.8 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 新景家园东区3居室-北卧,?3160,?8.4 ㎡,?北,?3室1厅,?9,?12层
,,,,,,
?友家 · 新景家园西区3居室-东卧,?3560,?10.11 ㎡,?东,?3室1厅,?10,?16层
,,,,,,
?友家 · 远洋德邑3居室-南卧,?3360,?约20.8 ㎡,?南,?3室1厅,?15,?22层
,,,,,,
?友家 · 金鱼池中区3居室-北卧,0,?约13.6 ㎡,?北,?3室1厅,?3,?6层
,,,,,,
?友家 · 兴隆都市馨园3居室-南卧,?3390,?约10.5 ㎡,?南,?3室1厅,?5,?6层
,,,,,,
?友家 · 东环居苑3居室-北卧,?3090,?约11.7 ㎡,?北,?3室1厅,?22,?22层
,,,,,,
?友家 · 兴隆都市馨园4居室-南卧,?3130,?约11.2 ㎡,?南,?4室2厅,?6,?6层
,,,,,,
?友家 · 新景家园东区4居室-西卧,?3260,?约10 ㎡,?西,?4室1厅,?9,?17层
,,,,,,
?友家 · 新景家园东区3居室-东卧,?3060,?约9.5 ㎡,?东,?3室1厅,?6,?17层
,,,,,,
?友家 · 新景家园东区3居室-北卧,?3160,?约10 ㎡,?北,?3室1厅,?3,?16层
,,,,,,
?友家 · 金世纪嘉园3居室-西南卧,?3290,?约10.8 ㎡,?南,?3室1厅,?8,?18层
,,,,,,
?友家 · 东环居苑3居室-西北卧,?3060,?约8.23 ㎡,?北,?3室1厅,?3,?22层
,,,,,,
?友家 · 广渠门内大街2居室-东卧,?3060,?约9.5 ㎡,?东,?2室1厅,?3,?16层
,,,,,,
?友家 · 幸福家园一期5居室-东卧,?3490,?约11.3 ㎡,?东,?5室1厅,?6,?18层
,,,,,,
?友家 · 金鱼池西区3居室-西卧,?3560,?约12 ㎡,?西,?3室1厅,?5,?7层
,,,,,,
?友家 · 金鱼池西区3居室-东卧,?3190,?约10 ㎡,?东,?3室1厅,?5,?7层
,,,,,,
?友家 · 金鱼池西区3居室-西卧,?3190,?约9 ㎡,?西,?3室1厅,?5,?7层
,,,,,,
