﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿花桥世纪城四季花园,﻿花桥-赛格电子城-花安路688号,﻿121.140659,﻿31.295264,﻿14793,﻿暂无数据,﻿1.70元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2015年,﻿暂无数据,﻿4.24,﻿31%(一般),﻿昆山沪昆投资建设管理有限公司,﻿暂无数据,5,9
﻿环湖佳苑c区,﻿巴城-石牌-石金路,﻿120.908388,﻿31.497520,﻿10919,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿1.7,﻿45%(高),﻿昆山阳澄湖房地产开发 有限公司,﻿昆山名湖物业,1,25
﻿苏凯公寓,﻿玉山-城东-黄浦江中路1777号,﻿121.014092,﻿31.374901,﻿10522,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中环广场,﻿花桥-赛格电子城-花安路169号,﻿121.148461,﻿31.289020,﻿11725,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿4.8,﻿30%(一般),﻿江苏中大地产集团有限公司,﻿中环广场物业,18,50
﻿金色港湾(别墅),﻿玉山-城东-桃花江路181号,﻿120.987555,﻿31.387330,﻿31545,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,2,76
﻿商行新村,"﻿千灯-石浦-宏川路,近兴浦中路",﻿121.044895,﻿31.254693,﻿8454,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,0
﻿青阳宝岛花园二期(别墅),﻿玉山-城东-桃花江路,﻿120.992898,﻿31.388097,﻿42739,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,17
﻿浦园小区(172-173),﻿千灯-石浦-兴浦北路285号,﻿121.059750,﻿31.242017,﻿9493,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山市杭州湾置业有限公司,﻿昆山浦园湾物业管理有限公司,0,0
﻿阳光水世界(别墅),﻿玉山-城东-太湖南路33号,﻿121.042916,﻿31.376586,﻿23813,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,27
﻿鑫苑鑫都汇(商住楼),﻿花桥-赛格电子城-泗泾路99号,﻿121.145024,﻿31.297372,﻿12690,﻿暂无数据,﻿4.90元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山鑫苑置业有限公司,﻿暂无数据,1,9
﻿阿里巴巴电子大厦,﻿花桥-赛格电子城-花安路171号,﻿121.147068,﻿31.289009,﻿8342,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,9,49
